"Repeat","Plant","Treatment","Stomata","Width","Length","Ratio"
3,2,"WL","71",4.481,7.848,0.570973496432212
3,2,"WL","72",5.293,7.955,0.66536769327467
3,2,"WL","73",5.208,8.35,0.623712574850299
3,2,"WL","74",4.84,7.161,0.675883256528418
3,2,"WL","75",3.551,5.118,0.693825713169207
3,2,"WL","76",3.986,6.259,0.636842946157533
3,2,"WL","77",4.268,7.65,0.557908496732026
3,2,"WL","78",3.473,7.32,0.474453551912568
3,2,"WL","79",3.236,4.991,0.648367060709277
3,2,"WL","80",4.114,6.846,0.600934852468595
3,2,"UVB","161",4.015,7.63,0.526212319790301
3,2,"UVB","162",3.856,8.3,0.464578313253012
3,2,"UVB","163",4.99,9.248,0.539576124567474
3,2,"UVB","164",5.432,9.398,0.577995318152798
3,2,"UVB","165",6.425,10.829,0.593314248776434
3,2,"UVB","166",3.708,11.398,0.325320231619582
3,2,"UVB","167",3.817,7.575,0.503894389438944
3,2,"UVB","168",5.213,9.395,0.554869611495476
3,2,"UVB","169",2.525,7.993,0.31590141373702
3,2,"UVB","170",4.5,7.955,0.565681961030798
3,3,"WL","81",3.821,6.413,0.595820988616872
3,3,"WL","82",4.23,9.104,0.4646309314587
3,3,"WL","83",3.711,7.689,0.48263753413968
3,3,"WL","84",4.891,9.543,0.512522267630724
3,3,"WL","85",3.896,8.563,0.454980731052201
3,3,"WL","86",5.49,9.403,0.583856216101244
3,3,"WL","87",4.164,6.488,0.641800246609124
3,3,"WL","88",4.67,9.072,0.514770723104056
3,3,"WL","89",3.719,9.45,0.393544973544974
3,3,"WL","90",5.423,8.64,0.627662037037037
3,3,"UVB","171",3.715,6.711,0.553568767694829
3,3,"UVB","172",4.544,6.727,0.675486844061246
3,3,"UVB","173",4.14,7.479,0.553549939831528
3,3,"UVB","174",2.981,7.913,0.376721850120056
3,3,"UVB","175",3.821,6.26,0.61038338658147
3,3,"UVB","176",4.167,6.146,0.678001952489424
3,3,"UVB","177",4.246,6.191,0.685834275561299
3,3,"UVB","178",3.27,7.091,0.461147934000846
3,3,"UVB","179",4.555,6.832,0.666715456674473
3,3,"UVB","180",4.945,8.162,0.6058564077432
