Index,Width,Length,Treatment,Temp,Plant,Repeat
218,12.42,38.101,UV,28,2,3
219,13.115,39.594,UV,28,2,3
220,17.033,38.865,UV,28,2,3
221,12,39.603,UV,28,2,3
222,12.387,36.821,UV,28,2,3
223,13.05,48.188,UV,28,2,3
224,15.585,52.669,UV,28,2,3
225,13.504,39.129,UV,28,2,3
226,14.969,43.469,UV,28,2,3
227,8.804,45.41,UV,28,2,3
228,3.501,44.263,WL,20,2,3
229,7.46,32.478,WL,20,2,3
230,5.635,36.345,WL,20,2,3
231,4.488,44.281,WL,20,2,3
232,11.003,32.686,WL,20,2,3
233,4.322,32.92,WL,20,2,3
234,7.337,44.246,WL,20,2,3
235,7.587,33.35,WL,20,2,3
236,10.321,44.299,WL,20,2,3
237,12.531,45.354,WL,20,2,3
238,8.734,30.25,WL,20,2,3
239,5.168,33.551,WL,20,2,3
