Index,Width,Length,Treatment,Temp,Plant,Repeat
163,3.084,35.114,WL,20,2,1
164,4.18,44.735,WL,20,2,1
165,9.505,32.905,WL,20,2,1
166,8.162,32.603,WL,20,2,1
167,6.306,50.705,WL,20,2,1
168,6.55,53.307,Predawn,Predawn,4,1
169,6.874,43.743,Predawn,Predawn,4,1
170,6.001,40.919,Predawn,Predawn,4,1
171,5.083,37.516,Predawn,Predawn,4,1
172,14.876,47.399,Predawn,Predawn,4,1
173,7.339,26.015,Predawn,Predawn,4,1
174,7.558,30.874,Predawn,Predawn,4,1
175,6.061,35.272,Predawn,Predawn,4,1
176,4.35,38.374,Predawn,Predawn,4,1
177,3.925,49.921,Predawn,Predawn,4,1
178,3.833,52.447,Predawn,Predawn,4,1
179,8.143,32.95,Predawn,Predawn,4,1
180,9.672,41.037,Predawn,Predawn,1,1
181,2.886,51.236,Predawn,Predawn,1,1
182,3.638,44.515,Predawn,Predawn,1,1
183,7.133,27.986,Predawn,Predawn,1,1
184,4.008,47.876,Predawn,Predawn,1,1
185,4.084,47.924,Predawn,Predawn,1,1
186,3.952,38.178,Predawn,Predawn,1,1
187,9.677,52.85,Predawn,Predawn,1,1
188,7.632,42.427,Predawn,Predawn,1,1
189,9.002,37.388,Predawn,Predawn,1,1
190,6.112,36.46,Predawn,Predawn,1,1
191,13.954,31.5,UV,20,2,1
192,15.046,54.569,UV,20,2,1
193,17.922,61.261,UV,20,2,1
194,9.304,47.002,UV,20,2,1
195,13.252,33.028,UV,20,2,1
196,18.895,50.34,UV,20,2,1
197,10.258,37.027,UV,20,2,1
198,14.127,45.152,UV,20,2,1
199,13.366,53.782,UV,20,2,1
200,12.153,39.091,UV,20,2,1
201,13.068,45.584,UV,20,2,1
202,15.15,50.721,UV,20,2,1
203,6.167,55.422,WL,28,1,1
204,6.334,29.98,WL,28,1,1
205,10.342,44.322,WL,28,1,1
206,10.103,38.769,WL,28,1,1
207,13.487,44.163,WL,28,1,1
208,14.07,39.906,WL,28,1,1
209,12.781,45.082,WL,28,1,1
210,8.004,38.245,WL,28,1,1
211,8.418,39.547,WL,28,1,1
212,5.66,48.706,WL,28,1,1
213,6.519,44.156,WL,28,1,1
214,11.588,61.211,WL,28,1,1
215,6.221,39.391,Predawn,Predawn,2,1
216,4.423,46.944,Predawn,Predawn,2,1
217,6.824,44.234,Predawn,Predawn,2,1
218,6.458,24.352,Predawn,Predawn,2,1
219,5.986,54.004,Predawn,Predawn,2,1
220,5.553,43.361,Predawn,Predawn,2,1
221,8.855,49.903,Predawn,Predawn,2,1
222,11.85,35.273,Predawn,Predawn,2,1
223,3.308,41.198,Predawn,Predawn,2,1
224,6.423,41.797,Predawn,Predawn,2,1
225,5.339,44.363,Predawn,Predawn,2,1
226,7.072,52.175,Predawn,Predawn,2,1
227,11.867,51.002,WL,20,4,1
228,8.707,47.023,WL,20,4,1
229,9.756,43.31,WL,20,4,1
230,6.797,27.765,WL,20,4,1
231,9.834,29.345,WL,20,4,1
232,8.252,30.556,WL,20,4,1
233,9.911,44.227,WL,20,4,1
234,3.489,42.233,WL,20,4,1
235,6.519,36.571,WL,20,4,1
236,12.734,50.234,WL,20,4,1
237,9.002,47.681,WL,20,4,1
238,6.038,43.222,WL,20,4,1
0,13.695,33.194,UV,20,2,2
1,11.588,26.8,UV,20,2,2
2,11.516,32.6,UV,20,2,2
3,9.841,47.609,UV,20,2,2
4,12.166,31.183,UV,20,2,2
5,11.02,24.287,UV,20,2,2
6,13.125,31.075,UV,20,2,2
7,5.233,44.673,UV,20,2,2
8,12.162,27.353,UV,20,2,2
9,12.76,36.896,UV,20,2,2
10,16.102,40.336,UV,20,2,2
11,11.494,28.735,UV,20,2,2
12,7.366,33.145,WL,20,2,2
13,12.391,44.227,WL,20,2,2
14,3.522,38.002,WL,20,2,2
15,3.272,41.765,WL,20,2,2
16,10.677,29.755,WL,20,2,2
17,6.601,28.408,WL,20,2,2
18,6.647,36.136,WL,20,2,2
19,9.605,46.609,WL,20,2,2
20,4.43,36.239,WL,20,2,2
21,9.241,38.089,WL,20,2,2
22,7.984,40.015,WL,20,2,2
23,4.332,32.816,WL,20,2,2
24,3.184,40.279,Predawn,Predawn,1,2
25,2.531,34.381,Predawn,Predawn,1,2
26,3.881,38.488,Predawn,Predawn,1,2
27,8.683,25.373,Predawn,Predawn,1,2
28,3.448,48.729,Predawn,Predawn,1,2
29,5.891,39.492,Predawn,Predawn,1,2
30,2.637,28.642,Predawn,Predawn,1,2
31,8.125,28.215,Predawn,Predawn,1,2
32,3.881,34.385,Predawn,Predawn,1,2
33,2.687,48.779,Predawn,Predawn,1,2
34,7.254,34.707,Predawn,Predawn,1,2
35,10.738,35.157,Predawn,Predawn,1,2
36,6.281,37.979,UV,28,2,2
37,11.524,39.167,UV,28,2,2
38,11.071,36.136,UV,28,2,2
39,9.631,23.867,UV,28,2,2
40,19.121,39.414,UV,28,2,2
41,18.341,59.345,UV,28,2,2
42,17.17,34.863,UV,28,2,2
43,9.22,38.461,UV,28,2,2
44,11.043,53.202,WL,28,2,2
45,2.668,35.806,WL,28,2,2
46,2.088,33.057,WL,28,2,2
47,8.274,23.663,WL,28,2,2
48,6.634,49.854,WL,28,2,2
49,2.85,39.541,WL,28,2,2
50,7.213,22.791,WL,28,2,2
51,6.916,39.691,WL,28,2,2
52,12.523,57.862,WL,28,2,2
53,7.708,31.057,WL,28,2,2
54,4.322,34.192,WL,28,2,2
55,2.864,30.644,WL,28,2,2
56,9.019,39.754,Predawn,Predawn,2,2
57,3.359,37.11,Predawn,Predawn,2,2
58,3.281,39.969,Predawn,Predawn,2,2
59,8.934,45.241,Predawn,Predawn,2,2
60,2.531,28.714,Predawn,Predawn,2,2
61,3.504,48.25,Predawn,Predawn,2,2
62,1.067,30.879,Predawn,Predawn,2,2
63,3.64,42.324,Predawn,Predawn,2,2
64,3.902,32.599,Predawn,Predawn,2,2
65,7.906,39.358,Predawn,Predawn,2,2
66,5.506,33.395,Predawn,Predawn,2,2
67,4.144,32.469,Predawn,Predawn,2,2
68,7.666,29.964,WL,28,1,2
69,8.257,25.824,WL,28,1,2
70,8.871,27.618,WL,28,1,2
71,5.094,33.024,WL,28,1,2
72,6.321,39.767,WL,28,1,2
73,10.312,46.591,WL,28,1,2
74,7.539,41.79,WL,28,1,2
75,9.204,30.113,WL,28,1,2
76,6.751,37.251,WL,28,1,2
77,10.762,45.642,WL,28,1,2
78,9.782,40.313,WL,28,1,2
79,9.667,38.203,WL,28,1,2
80,4.485,35.46,WL,28,4,2
81,4.883,31.238,WL,28,4,2
82,1.7,38.513,WL,28,4,2
83,5.344,24.326,WL,28,4,2
84,1.768,30.591,WL,28,4,2
85,2.386,26.201,WL,28,4,2
86,4.853,22.617,WL,28,4,2
87,5.952,22.642,WL,28,4,2
88,3.216,28.241,WL,28,4,2
89,5.613,26.408,WL,28,4,2
90,6.667,26.492,WL,28,4,2
91,1.463,37.541,WL,28,4,2
