Sample,Treatment,Date,ABA
Ws,FR,2.11.22,15.46388889
Ws,FR,3.11.22,10.5
Ws,FR,4.11.22,9.422972973
Ws,FRUV,2.11.22,4.37
Ws,FRUV,3.11.22,6.381132075
Ws,FRUV,4.11.22,3.759770115
Ws,UV,2.11.22,3.019230769
Ws,UV,3.11.22,2.660227273
Ws,UV,4.11.22,2.170526316
Ws,WL,2.11.22,5.827777778
Ws,WL,3.11.22,5.5
Ws,WL,4.11.22,4.9125
