"Genotype","Treatment","ROI","F0","FM","FvFm","Repeat"
"uvr8-6","UV","0113-0141",143.599,632.108,0.772825213412898,3
"uvr8-6","UV","0143-0144",158.284,703.489,0.775001457023493,3
"uvr8-6","UV","0163-0147",148.711,672.378,0.778828278141165,3
"uvr8-6","UV","0193-0171",144.987,635.314,0.771786864448131,3
"uvr8-6","WL","0030-0174",125.57,597.119,0.789706909343029,3
"uvr8-6","WL","0071-0249",149.27,705.723,0.788486417475412,3
"uvr8-6","WL","0084-0263",158.994,741.614,0.785610843376743,3
"uvr8-6","WL","0108-0227",151.421,708.474,0.786271620412323,3
"uvr8-6","WL","0123-0254",144.607,664.493,0.782379949826409,3
"uvr8-6","WL","0173-0190",145.112,659.059,0.779819409187948,3
"uvr8-6","WL","0188-0259",152.643,696.013,0.780689441145496,3
"uvr8-6","WL","0193-0246",141.105,658.82,0.785821620472967,3
"uvr8-6","WL","0199-0236",149.79,691.006,0.783229089183017,3
"uvr8-6","WL","0205-0191",164.315,759.181,0.7835628130841,3
