Index,Width,Length,Treatment,Genotype,Plant,Repeat
41,4.10688,8.848144,WL,blus1-3,1,1
42,0.868992,11.377496,WL,blus1-3,1,1
43,2.73172,10.393928,WL,blus1-3,1,1
44,3.03428,9.544032,WL,blus1-3,1,1
45,2.717336,13.341408,WL,blus1-3,1,1
46,2.153384,7.29864,WL,blus1-3,1,1
47,1.210488,10.387232,WL,blus1-3,1,1
0,3.782992,13.469872,UV,blus1-3,3,1
1,2.573248,10.825448,UV,blus1-3,3,1
2,4.34372,10.116912,UV,blus1-3,3,1
3,2.618384,9.794264,UV,blus1-3,3,1
4,5.70648,13.764,UV,blus1-3,3,1
5,3.961304,8.483088,UV,blus1-3,3,1
6,3.978416,9.915288,UV,blus1-3,3,1
7,4.105888,11.640624,UV,blus1-3,3,1
8,3.673872,11.264408,UV,blus1-3,3,1
9,3.287984,12.879384,UV,blus1-3,3,1
10,3.262688,8.027016,UV,blus1-3,3,1
11,3.215568,9.540064,UV,blus1-3,3,1
12,3.646096,11.757432,WL,blus1-3,4,1
13,2.691792,13.126144,WL,blus1-3,4,1
14,3.5216,11.195464,WL,blus1-3,4,1
15,3.7758,12.776464,WL,blus1-3,4,1
16,2.748088,13.40688,WL,blus1-3,4,1
17,3.466544,8.764072,WL,blus1-3,4,1
18,2.996088,6.153128,WL,blus1-3,4,1
19,2.468592,8.4816,WL,blus1-3,4,1
20,2.62508,9.715152,WL,blus1-3,4,1
21,3.504736,10.97772,WL,blus1-3,4,1
22,3.094048,9.70052,WL,blus1-3,4,1
23,4.142592,11.110152,WL,blus1-3,4,1
24,2.122632,9.292312,UV,Col-0,1,1
25,1.767248,10.215368,UV,Col-0,1,1
26,3.1248,8.8164,UV,Col-0,1,1
27,1.672016,9.4054,UV,Col-0,1,1
28,2.94748,14.615384,UV,Col-0,1,1
29,3.287984,14.113432,UV,Col-0,1,1
30,2.329712,9.07184,UV,Col-0,1,1
31,3.481424,10.611424,UV,Col-0,1,1
32,3.100496,9.79724,UV,Col-0,1,1
33,3.59228,10.318784,UV,Col-0,1,1
34,3.15084,14.806344,UV,Col-0,1,1
35,2.682616,9.169304,UV,Col-0,1,1
0,3.068752,8.634368,UV,Col-0,2,1
1,3.266904,8.855832,UV,Col-0,2,1
2,2.569776,15.304328,UV,Col-0,2,1
3,2.003592,9.57528,UV,Col-0,2,1
4,2.6164,7.462072,UV,Col-0,2,1
5,2.311856,8.549304,UV,Col-0,2,1
6,1.88728,9.229816,UV,Col-0,2,1
7,3.941216,10.881496,UV,Col-0,2,1
8,3.039984,8.867736,UV,Col-0,2,1
9,2.427672,8.654456,UV,Col-0,2,1
10,2.084192,8.124232,UV,Col-0,2,1
