Width,Length,Treatment,Genotype,Plant,Date,Ratio
0.660097963,10.53260923,PreDawn,bg1,2,23.06.14,0.062671836
1.586512164,6.878433627,PreDawn,bg1,2,23.06.14,0.23065021
0.746972498,11.15582882,PreDawn,bg1,2,23.06.14,0.066958046
1.727095457,6.169082011,PreDawn,bg1,2,23.06.14,0.27995988
1.593937338,6.076267336,PreDawn,bg1,2,23.06.14,0.262321792
1.135804106,7.536304038,PreDawn,bg1,2,23.06.14,0.150711025
0.910326324,9.399527684,PreDawn,bg1,2,23.06.14,0.096848092
4.113793865,8.084034368,UV,Col-0,3,23.06.14,0.508878819
3.496019394,11.35680353,UV,Col-0,3,23.06.14,0.307834804
2.576287849,8.823334186,UV,Col-0,3,23.06.14,0.29198575
2.920568414,6.322535605,UV,Col-0,3,23.06.14,0.461929928
4.339024141,13.38239098,UV,Col-0,3,23.06.14,0.324233849
2.539409486,8.604291555,UV,Col-0,3,23.06.14,0.295132896
2.214929385,11.35061589,UV,Col-0,3,23.06.14,0.195137375
2.321109372,8.49860658,UV,Col-0,3,23.06.14,0.273116463
4.144484584,13.07226622,UV,Col-0,3,23.06.14,0.317044078
2.371600555,11.1976573,UV,Col-0,3,23.06.14,0.21179435
3.44033059,9.162417129,UV,bg1,3,23.06.14,0.37548286
2.913638252,10.37173046,UV,bg1,3,23.06.14,0.280921131
3.032193529,10.79818295,UV,bg1,3,23.06.14,0.280805904
2.809190805,8.225607685,UV,bg1,3,23.06.14,0.341517723
7.463784839,12.36489465,UV,bg1,3,23.06.14,0.603627047
2.325564476,9.721780232,UV,bg1,3,23.06.14,0.239211793
3.371523978,9.125786271,UV,bg1,3,23.06.14,0.369450245
2.436199568,10.80437059,UV,bg1,3,23.06.14,0.225482785
2.610691155,6.368819189,UV,bg1,3,23.06.14,0.409917612
4.12765419,9.747768341,UV,bg1,3,23.06.14,0.423446069
2.442634719,8.433512555,WL,Col-0,1,23.06.14,0.289634325
1.161297203,11.19938985,WL,Col-0,1,23.06.14,0.103692899
0.744002428,9.205483138,WL,Col-0,1,23.06.14,0.08082166
2.042912855,4.420948561,WL,Col-0,1,23.06.14,0.462098309
1.5837896,6.399757414,WL,Col-0,1,23.06.14,0.247476505
1.512012919,7.088566049,WL,Col-0,1,23.06.14,0.213303073
0.849687404,6.715574812,WL,Col-0,1,23.06.14,0.126524896
2.665142431,8.306294575,WL,Col-0,1,23.06.14,0.320858164
2.540399509,7.883802178,WL,Col-0,1,23.06.14,0.322230245
1.37118212,6.606672261,WL,Col-0,1,23.06.14,0.207545049
1.881786581,6.986841166,PreDawn,Col-0,3,23.06.14,0.269332955
1.860748588,7.231129389,PreDawn,Col-0,3,23.06.14,0.257324754
1.51077539,5.54833747,PreDawn,Col-0,3,23.06.14,0.272293349
1.066502483,6.693051784,PreDawn,Col-0,3,23.06.14,0.159344723
1.575869415,7.373692728,PreDawn,Col-0,3,23.06.14,0.213715091
1.212778409,6.973475853,PreDawn,Col-0,3,23.06.14,0.173913043
0.869487868,4.880814333,PreDawn,Col-0,3,23.06.14,0.178144016
1.581809554,6.638600509,PreDawn,Col-0,3,23.06.14,0.238274551
1.695909727,7.755099163,PreDawn,Col-0,3,23.06.14,0.218683177
0.433630158,12.00823879,PreDawn,Col-0,3,23.06.14,0.036111054
1.343213965,6.984366109,PreDawn,Col-0,1,23.06.14,0.192317233
1.14793189,8.124625319,PreDawn,Col-0,1,23.06.14,0.141290441
1.018733864,5.879747733,PreDawn,Col-0,1,23.06.14,0.173261492
1.280842504,7.233604447,PreDawn,Col-0,1,23.06.14,0.177068364
0.895475976,10.2412949,PreDawn,Col-0,1,23.06.14,0.087437769
2.884432568,14.24668123,PreDawn,Col-0,1,23.06.14,0.202463474
1.605322605,8.64760507,PreDawn,Col-0,1,23.06.14,0.185637826
2.100581706,6.765323477,PreDawn,Col-0,1,23.06.14,0.310492427
1.447413906,7.09326866,PreDawn,Col-0,1,23.06.14,0.204054573
2.415904092,7.481110245,PreDawn,Col-0,1,23.06.14,0.322933898
0.721479401,8.357775781,PreDawn,Col-0,2,23.06.14,0.086324331
1.455334091,5.790645646,PreDawn,Col-0,2,23.06.14,0.251325013
0.936314433,5.103074539,PreDawn,Col-0,2,23.06.14,0.183480454
1.041009386,5.763915019,PreDawn,Col-0,2,23.06.14,0.180608038
1.692444645,6.215860606,PreDawn,Col-0,2,23.06.14,0.27227841
1.014773771,8.163978741,PreDawn,Col-0,2,23.06.14,0.124298924
0.936314433,5.239202728,PreDawn,Col-0,2,23.06.14,0.178713152
1.801842208,10.37098794,PreDawn,Col-0,2,23.06.14,0.173738724
1.19916559,7.000701491,PreDawn,Col-0,2,23.06.14,0.171292204
1.080857819,7.458587217,PreDawn,Col-0,2,23.06.14,0.144914551
1.90480462,6.746265531,UV,Col-0,1,23.06.14,0.282349488
2.860424505,8.417177172,UV,Col-0,1,23.06.14,0.339831804
1.948860652,8.600578968,UV,Col-0,1,23.06.14,0.226596449
2.517628975,8.726311914,UV,Col-0,1,23.06.14,0.288510083
2.847554204,8.234270387,UV,Col-0,1,23.06.14,0.345817428
3.450478327,8.809473862,UV,Col-0,1,23.06.14,0.391678139
2.508966272,8.458758146,UV,Col-0,1,23.06.14,0.296611657
2.840376536,10.25020511,UV,Col-0,1,23.06.14,0.277104361
3.962072811,11.84612249,UV,Col-0,1,23.06.14,0.334461577
3.369543931,10.48558312,UV,Col-0,1,23.06.14,0.321350171
0.498971688,12.01145637,PreDawn,bg1,3,23.06.14,0.041541315
1.294702828,8.183531699,PreDawn,bg1,3,23.06.14,0.158208323
1.215748479,9.307455527,PreDawn,bg1,3,23.06.14,0.130620928
1.550623823,6.975208394,PreDawn,bg1,3,23.06.14,0.222305017
1.659031363,9.28196243,PreDawn,bg1,3,23.06.14,0.178737134
2.216909431,7.132622081,PreDawn,bg1,3,23.06.14,0.310812687
2.264430544,7.266275212,PreDawn,bg1,3,23.06.14,0.31163567
1.87238136,9.507935223,PreDawn,bg1,3,23.06.14,0.196928283
1.639973416,9.390122463,PreDawn,bg1,3,23.06.14,0.174648778
1.981036406,5.38399362,PreDawn,bg1,3,23.06.14,0.367949248
1.896141934,10.41355903,PreDawn,bg1,1,25.10.23,0.182083947
0.996210845,5.097134445,PreDawn,bg1,1,25.10.23,0.195445275
1.765211366,5.439929978,PreDawn,bg1,1,25.10.23,0.32449156
0.39130667,8.824571793,PreDawn,bg1,1,25.10.23,0.044342851
0.879883119,9.839098067,PreDawn,bg1,1,25.10.23,0.089427213
1.225896227,7.924145693,PreDawn,bg1,1,25.10.23,0.154703898
0.961560033,6.955655497,PreDawn,bg1,1,25.10.23,0.138241469
1.072690137,7.631841343,PreDawn,bg1,1,25.10.23,0.140554565
1.141249244,5.109757241,PreDawn,bg1,1,25.10.23,0.223347057
1.99539176,7.043767562,PreDawn,bg1,1,25.10.23,0.283284725
2.767114844,6.027261242,WL,Col-0,3,25.10.23,0.459099869
2.312199184,9.141131711,WL,Col-0,3,25.10.23,0.252944521
3.50517714,12.48567759,WL,Col-0,3,25.10.23,0.280735836
2.254282826,7.691985252,WL,Col-0,3,25.10.23,0.293069052
2.454762524,12.36043965,WL,Col-0,3,25.10.23,0.198598318
1.814712526,7.908057816,WL,Col-0,3,25.10.23,0.229476386
2.518124009,10.41949917,WL,Col-0,3,25.10.23,0.241674189
3.770008346,10.87070224,WL,Col-0,3,25.10.23,0.34680449
2.167655796,7.568479858,WL,Col-0,3,25.10.23,0.286405703
2.324821979,9.684159437,WL,Col-0,3,25.10.23,0.240064406
1.417713222,7.141284847,PreDawn,Col-0,3,25.10.23,0.19852355
1.92114002,6.958130555,PreDawn,Col-0,3,25.10.23,0.276100025
1.465976853,9.630698184,PreDawn,Col-0,3,25.10.23,0.152219167
