Index,Width,Length,Time,Treatment,Age,Plant
597,7.526,37.242,360mins,UV,Mature,3
598,5.552,34.269,360mins,UV,Mature,3
599,3.1,31.572,360mins,UV,Mature,3
600,5.38,32.182,360mins,UV,Mature,3
601,8.043,36.918,360mins,UV,Mature,3
602,3.558,25.91,360mins,UV,Mature,3
603,8.143,29.885,360mins,UV,Mature,3
604,5.855,24.034,360mins,UV,Mature,3
605,9.737,30.686,360mins,UV,Mature,3
606,6.933,23.003,360mins,UV,Mature,3
607,7.897,35.384,360mins,UV,Mature,3
608,7.434,21.414,360mins,UV,Mature,3
609,10.331,45.354,240mins,FR,Cot,3
610,8.669,28.165,240mins,FR,Cot,3
611,8.501,36.508,240mins,FR,Cot,3
612,9.779,27.707,240mins,FR,Cot,3
613,9.053,38.145,240mins,FR,Cot,3
614,4.516,32.798,240mins,FR,Cot,3
615,7.527,28.394,240mins,FR,Cot,3
616,5.94,31.875,240mins,FR,Cot,3
617,5.131,39.668,240mins,FR,Cot,3
618,8.793,33.64,240mins,FR,Cot,3
619,13.251,21.221,240mins,FR,Cot,3
620,10.167,38.047,240mins,FR,Cot,3
621,13.55,39.511,240mins,WL,Cot,2
622,17.103,39.281,240mins,WL,Cot,2
623,6.386,37.635,240mins,WL,Cot,2
624,18.929,44.784,240mins,WL,Cot,2
625,6.063,47.142,240mins,WL,Cot,2
626,8.489,28.601,240mins,WL,Cot,2
627,8.221,27.516,240mins,WL,Cot,2
628,5.088,39.486,240mins,WL,Cot,2
629,10.112,41.552,240mins,WL,Cot,2
630,10.46,34.414,240mins,WL,Cot,2
631,17.467,43.603,240mins,WL,Cot,2
632,10.892,40.122,240mins,WL,Cot,2
633,9.989,35.063,120mins,WL,Cot,2
634,9.014,27.253,120mins,WL,Cot,2
635,6.704,56.475,120mins,WL,Cot,2
636,9.361,30.476,120mins,WL,Cot,2
637,9.435,27.487,120mins,WL,Cot,2
638,7.95,39.016,120mins,WL,Cot,2
639,8.952,55.258,120mins,WL,Cot,2
640,11.701,38.834,120mins,WL,Cot,2
641,16.01,38.469,120mins,WL,Cot,2
642,9.014,31.256,120mins,WL,Cot,2
643,9.806,45.279,120mins,WL,Cot,2
644,9.939,36.804,120mins,WL,Cot,2
645,1.79,33.67,0mins,Predawn,Mature,2
646,4.685,28.986,0mins,Predawn,Mature,2
647,3.457,31.009,0mins,Predawn,Mature,2
648,2.427,38.711,0mins,Predawn,Mature,2
649,2.461,39.661,0mins,Predawn,Mature,2
650,2.281,29.481,0mins,Predawn,Mature,2
651,3.321,38.537,0mins,Predawn,Mature,2
652,4.403,32.413,0mins,Predawn,Mature,2
653,3.659,31.149,0mins,Predawn,Mature,2
654,2.007,36.31,0mins,Predawn,Mature,2
655,3.891,28.624,0mins,Predawn,Mature,2
656,2.55,35.026,0mins,Predawn,Mature,2
657,2.129,30.25,360mins,FR,Mature,2
658,4.202,42.039,360mins,FR,Mature,2
659,6.92,30.359,360mins,FR,Mature,2
660,3.005,30.398,360mins,FR,Mature,2
661,5.131,38.224,360mins,FR,Mature,2
662,3.412,35.353,360mins,FR,Mature,2
663,7.472,32.486,360mins,FR,Mature,2
664,5.039,32.86,360mins,FR,Mature,2
665,2.574,28.988,360mins,FR,Mature,2
666,2.967,39.371,360mins,FR,Mature,2
667,3.101,26.112,360mins,FR,Mature,2
668,4.472,30.601,360mins,FR,Mature,2
669,7.156,28.294,240mins,UV,Mature,3
670,3.272,31.565,240mins,UV,Mature,3
671,5.039,28.533,240mins,UV,Mature,3
672,2.281,28.502,240mins,UV,Mature,3
673,9.195,31.383,240mins,UV,Mature,3
674,2.637,33.185,240mins,UV,Mature,3
675,4.902,28.482,240mins,UV,Mature,3
676,3.923,34.492,240mins,UV,Mature,3
677,2.603,36.237,240mins,UV,Mature,3
678,7.159,27.707,240mins,UV,Mature,3
679,5.884,29.337,240mins,UV,Mature,3
680,6.385,25.79,240mins,UV,Mature,3
681,7.946,40.979,360mins,WL,Cot,1
682,11.524,42.117,360mins,WL,Cot,1
683,13.384,36.682,360mins,WL,Cot,1
684,10.661,30.051,360mins,WL,Cot,1
685,8.055,39.386,360mins,WL,Cot,1
686,3.923,27.571,360mins,WL,Cot,1
687,9.641,35.706,360mins,WL,Cot,1
688,16.524,42.22,360mins,WL,Cot,1
689,8.841,35.954,360mins,WL,Cot,1
690,14.384,38.566,360mins,WL,Cot,1
691,18.204,39.756,360mins,WL,Cot,1
692,8.75,33.278,360mins,WL,Cot,1
693,9.176,30.169,120mins,WL,Cot,1
694,8.498,50.346,120mins,WL,Cot,1
695,11.015,36.23,120mins,WL,Cot,1
696,8.241,39.889,120mins,WL,Cot,1
697,8.127,25.793,120mins,WL,Cot,1
698,3.337,38.909,120mins,WL,Cot,1
699,13.536,43.578,120mins,WL,Cot,1
700,10.962,28.455,120mins,WL,Cot,1
701,9.503,31.391,120mins,WL,Cot,1
702,11.182,24.196,120mins,WL,Cot,1
703,12.701,44.131,120mins,WL,Cot,1
704,12.98,33.616,120mins,WL,Cot,1
705,5.78,32.187,240mins,FR,Mature,3
706,3.171,45.344,240mins,FR,Mature,3
707,6.125,21.967,240mins,FR,Mature,3
708,2.035,29.165,240mins,FR,Mature,3
709,2.675,34.639,240mins,FR,Mature,3
710,4.418,25.89,240mins,FR,Mature,3
711,5.108,31.667,240mins,FR,Mature,3
712,1.7,32.772,240mins,FR,Mature,3
713,2.014,42.933,240mins,FR,Mature,3
714,6.878,35.536,240mins,FR,Mature,3
715,3.202,37.074,240mins,FR,Mature,3
716,5.231,30.806,240mins,FR,Mature,3
