Index,Width,Length,Time,Treatment,Age,Plant
136,14.428,40.775,240mins,UV,Cot,3
137,9.455,37.361,240mins,UV,Cot,3
138,9.4,32.117,240mins,UV,Cot,3
139,7.46,26.01,240mins,UV,Cot,3
140,9.65,39.964,240mins,UV,Cot,3
141,19.511,52.507,240mins,UV,Cot,3
142,12.356,30.984,240mins,UV,Cot,3
143,10.575,34.954,240mins,UV,Cot,3
144,8.509,28.002,120mins,WL,Cot,3
145,7.891,25.801,120mins,WL,Cot,3
146,3.579,45.711,120mins,WL,Cot,3
147,2.236,38.61,120mins,WL,Cot,3
148,9.352,40.476,120mins,WL,Cot,3
149,10.46,30.521,120mins,WL,Cot,3
150,15.657,36.895,120mins,WL,Cot,3
151,4.517,29.093,120mins,WL,Cot,3
152,8.683,38.128,120mins,WL,Cot,3
153,9.92,39.345,120mins,WL,Cot,3
154,6.824,38.542,120mins,WL,Cot,3
155,7.634,33.403,120mins,WL,Cot,3
156,8.908,31.369,240mins,FR,Mature,1
157,4.76,37.029,240mins,FR,Mature,1
158,6.886,31.576,240mins,FR,Mature,1
159,7.974,38.329,240mins,FR,Mature,1
160,1.505,30.013,240mins,FR,Mature,1
161,5.46,32.579,240mins,FR,Mature,1
162,7.368,32.101,240mins,FR,Mature,1
163,7.974,28.373,240mins,FR,Mature,1
164,6.546,32.733,240mins,FR,Mature,1
165,6.816,26.237,240mins,FR,Mature,1
166,6.38,31.431,240mins,FR,Mature,1
167,7.413,29.545,240mins,FR,Mature,1
168,4.246,32.798,0mins,Predawn,Cot,2
169,2.652,36.081,0mins,Predawn,Cot,2
170,3.988,36.68,0mins,Predawn,Cot,2
171,4.951,38.268,0mins,Predawn,Cot,2
172,8.933,31.004,0mins,Predawn,Cot,2
173,5.209,30.233,0mins,Predawn,Cot,2
174,2.236,38.05,0mins,Predawn,Cot,2
175,9.235,33.658,0mins,Predawn,Cot,2
176,3.923,47.888,0mins,Predawn,Cot,2
177,9.461,39.772,0mins,Predawn,Cot,2
178,4.375,34.256,0mins,Predawn,Cot,2
179,4.652,31.456,0mins,Predawn,Cot,2
180,5.247,28.835,120mins,FR,Cot,1
181,4.953,39.47,120mins,FR,Cot,1
182,4.718,30.915,120mins,FR,Cot,1
183,3.834,43.288,120mins,FR,Cot,1
184,5.841,28.217,120mins,FR,Cot,1
185,7.84,22.833,120mins,FR,Cot,1
186,3.335,37.178,120mins,FR,Cot,1
187,9.461,40.301,120mins,FR,Cot,1
188,6.308,27.593,120mins,FR,Cot,1
189,12.901,56.067,120mins,FR,Cot,1
190,9.304,33.664,120mins,FR,Cot,1
191,7.755,24.388,120mins,FR,Cot,1
192,7.134,35.471,360mins,WL,Mature,2
193,11.348,43.526,360mins,WL,Mature,2
194,3.834,32.4,360mins,WL,Mature,2
195,3.22,28.514,360mins,WL,Mature,2
196,11.035,34.167,360mins,WL,Mature,2
197,6.667,32.103,360mins,WL,Mature,2
198,10.066,32.2,360mins,WL,Mature,2
199,7.53,36.097,360mins,WL,Mature,2
200,2.163,35.36,360mins,WL,Mature,2
201,11.733,33.814,360mins,WL,Mature,2
202,12.135,38.017,360mins,WL,Mature,2
203,14.526,31.637,360mins,WL,Mature,2
204,7.107,28.146,120mins,UV,Cot,2
205,5.64,32.886,120mins,UV,Cot,2
206,6.893,30.7,120mins,UV,Cot,2
207,12.008,35.934,120mins,UV,Cot,2
208,9.449,31.641,120mins,UV,Cot,2
209,6.515,30.323,120mins,UV,Cot,2
210,7.179,38.909,120mins,UV,Cot,2
211,7.305,24.714,120mins,UV,Cot,2
212,7.828,42.255,120mins,UV,Cot,2
213,7.85,37.217,120mins,UV,Cot,2
214,6.55,27.936,120mins,UV,Cot,2
215,7.567,37.899,120mins,UV,Cot,2
